DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-12-21,Blount,15547,16,13187,13,2360,3,14546,13,78914,167,93460,180,1,196,-15,140,30,15211,1,358,196
05-12-21,Bradley,15096,7,12274,5,2822,2,13944,8,70065,150,84009,158,0,151,-8,163,15,14782,0,671,151
05-12-21,Campbell,4174,4,2277,2,1897,2,2555,2,25423,21,27978,23,0,63,2,34,2,4077,0,129,63
05-12-21,Cannon,1926,2,1531,0,395,2,1705,0,9686,17,11391,17,0,31,2,16,0,1879,0,39,31
05-12-21,Carroll,3630,3,2355,2,1275,1,2797,2,20081,26,22878,28,0,83,-9,25,12,3522,0,83,83
05-12-21,Carter,6661,10,5767,6,894,4,6347,6,39839,88,46186,94,0,158,0,80,10,6423,0,234,158
05-12-21,Cheatham,4573,6,3472,6,1101,0,3923,7,28618,55,32541,62,0,56,-1,43,7,4474,0,90,56
05-12-21,Chester,2151,2,1535,0,616,2,1827,0,12349,25,14176,25,0,51,-4,21,6,2079,0,45,51
05-12-21,Claiborne,3188,2,2035,1,1153,1,2183,2,24987,21,27170,23,0,73,0,22,2,3093,0,95,73
05-12-21,Clay,1103,1,756,1,347,0,873,1,5765,10,6638,11,0,30,1,2,0,1071,0,25,30
05-12-21,Cocke,4523,5,2965,0,1558,5,3269,1,23112,66,26381,67,0,99,4,44,1,4380,0,120,99
05-12-21,Coffee,6920,2,4767,1,2153,1,5817,1,47069,66,52886,67,0,122,-4,36,6,6762,0,125,123
05-12-21,Crockett,2035,1,1223,1,812,0,1427,1,7531,17,8958,18,0,49,-2,6,3,1980,0,31,49
05-12-21,Cumberland,6764,8,5548,4,1216,4,6370,7,49955,85,56325,92,0,133,6,70,2,6561,1,167,133
05-12-21,Davidson,89610,52,83703,40,5907,12,101644,53,1041092,2022,1142736,2075,1,941,-25,627,76,88042,0,1988,941
05-12-21,Decatur,1592,0,1174,0,418,0,1394,0,11123,13,12517,13,0,39,-2,9,2,1544,0,40,39
05-12-21,Dekalb,2806,1,2067,1,739,0,2384,1,17520,32,19904,33,0,54,-2,20,3,2732,0,57,54
05-12-21,Dickson,6850,0,4964,0,1886,0,5856,0,37184,79,43040,79,0,113,-6,31,6,6706,0,122,113
05-12-21,Dyer,5439,5,3567,2,1872,3,4028,2,22371,25,26399,27,0,106,3,35,2,5298,1,112,106
05-12-21,Fayette,5113,15,4328,14,785,1,5358,23,39482,106,44840,129,0,77,3,90,12,4946,0,134,78
05-12-21,Fentress,2428,4,2084,4,344,0,2378,4,13683,33,16061,37,0,47,4,20,0,2361,0,64,47
05-12-21,Franklin,5163,4,4283,3,880,1,5010,4,39650,94,44660,98,0,90,2,30,2,5043,0,110,90
05-12-21,Gibson,6534,4,3917,2,2617,2,4739,3,30507,44,35246,47,0,146,-4,34,8,6354,0,116,146
05-12-21,Giles,4009,3,3286,3,723,0,3778,3,23601,43,27379,46,0,100,-3,31,6,3878,0,111,100
05-12-21,Grainger,2635,1,1939,1,696,0,2171,1,14418,19,16589,20,0,50,-2,18,3,2567,0,73,50
05-12-21,Greene,7922,11,6312,10,1610,1,7066,10,53062,221,60128,231,0,156,5,96,6,7670,0,199,156
05-12-21,Grundy,1795,2,1500,1,295,1,1716,1,9552,41,11268,42,0,34,1,4,1,1757,0,61,34
05-12-21,Hamblen,8630,3,5980,1,2650,2,6711,1,47132,56,53843,57,0,173,-2,51,5,8406,0,266,173
05-12-21,Hamilton,44527,51,38084,43,6443,8,42710,55,330972,783,373682,838,1,496,5,451,45,43580,0,1177,496
05-12-21,Hancock,593,2,407,0,186,2,435,0,4051,4,4486,4,0,12,1,5,1,576,0,23,12
05-12-21,Hardeman,3527,2,2829,2,698,0,3308,3,25967,31,29275,34,0,64,-1,24,3,3439,0,105,64
05-12-21,Hardin,3587,2,2415,2,1172,0,2866,2,24039,30,26905,32,0,68,-1,24,3,3495,0,70,68
05-12-21,Hawkins,6152,24,4953,15,1199,9,5334,18,36602,234,41936,252,0,107,-3,160,27,5885,1,160,107
05-12-21,Haywood,2715,2,2273,2,442,0,2592,2,13991,45,16583,47,0,62,2,16,0,2637,0,84,62
05-12-21,Henderson,3802,6,2622,1,1180,5,3274,2,16349,28,19623,30,0,76,-2,20,8,3706,0,79,76
05-12-21,Henry,3202,6,2453,4,749,2,2836,5,18246,39,21082,44,0,76,4,42,2,3084,0,78,76
05-12-21,Hickman,2847,1,2292,1,555,0,2642,1,17113,21,19755,22,0,46,-1,16,2,2785,0,58,46
05-12-21,Houston,1097,2,825,2,272,0,945,2,10795,7,11740,9,0,33,1,8,1,1056,0,40,33
05-12-21,Humphreys,1811,3,1143,2,668,1,1332,2,12124,30,13456,32,0,28,1,29,2,1754,1,37,28
05-12-21,Jackson,1323,1,1032,1,291,0,1203,1,5686,10,6889,11,0,36,1,10,0,1277,0,41,36
05-12-21,Jefferson,6242,9,4248,5,1994,4,4801,8,40033,43,44834,51,0,125,1,77,8,6040,2,198,125
05-12-21,Johnson,2416,0,2087,0,329,0,2227,2,16449,81,18676,83,0,39,-3,32,3,2345,0,60,39
05-12-21,Knox,51086,34,42592,27,8494,7,46604,29,337181,508,383785,537,0,636,-15,372,49,50078,0,1388,636
05-12-21,Lake,1705,3,1515,3,190,0,1784,3,10295,1,12079,4,0,26,2,6,1,1673,0,27,26
05-12-21,Lauderdale,3201,4,2489,3,712,1,2857,3,21651,32,24508,35,0,44,1,28,3,3129,0,84,43
05-12-21,Lawrence,5979,7,4646,5,1333,2,5113,7,30303,55,35416,62,1,89,-1,97,7,5793,0,153,90
05-12-21,Lewis,1583,0,1179,0,404,0,1276,0,10162,19,11438,19,0,26,0,5,0,1552,0,43,26
05-12-21,Lincoln,4367,2,3360,2,1007,0,3817,2,18153,32,21970,34,0,63,0,27,2,4277,1,87,62
05-12-21,Loudon,6158,5,4673,1,1485,4,5115,1,32212,42,37327,43,0,69,-1,60,6,6029,0,139,69
05-12-21,Macon,3630,1,2805,0,825,1,3297,0,17384,38,20681,38,0,78,0,18,1,3534,0,129,78
05-12-21,Madison,11244,48,6279,17,4965,31,7584,22,57129,103,64713,125,0,241,41,22,7,10981,1,338,241
05-12-21,Marion,3128,1,2673,1,455,0,2987,1,20262,48,23249,49,0,47,1,12,0,3069,0,115,47
05-12-21,Marshall,4202,2,3282,1,920,1,3710,3,23711,39,27421,42,0,58,-3,35,5,4109,0,92,58
05-12-21,Maury,13536,9,11811,5,1725,4,13029,6,77047,119,90076,125,0,172,-5,124,14,13240,0,297,171
05-12-21,McMinn,6533,4,5776,2,757,2,6359,5,43846,58,50205,63,0,98,-4,55,8,6380,0,163,98
05-12-21,McNairy,2841,9,1992,0,849,9,2416,0,18889,90,21305,90,0,54,8,29,1,2758,0,66,54
05-12-21,Meigs,1390,0,1243,0,147,0,1381,0,8334,22,9715,22,0,25,-2,7,2,1358,0,46,25
05-12-21,Monroe,5871,7,4618,5,1253,2,5173,4,28241,46,33414,50,0,96,-1,52,8,5723,0,161,96
05-12-21,Montgomery,20390,32,14944,18,5446,14,16408,19,123350,331,139758,350,0,227,19,292,13,19871,0,308,227
05-12-21,Moore,1015,1,780,0,235,1,880,0,4963,11,5843,11,0,17,1,7,0,991,0,18,17
05-12-21,Morgan,2512,6,1834,4,678,2,1992,5,15739,14,17731,19,0,39,4,25,2,2448,0,46,39
05-12-21,Obion,4549,2,3356,1,1193,1,3805,1,23331,35,27136,36,0,96,-2,21,4,4432,0,102,96
05-12-21,Out of State,18194,20,14412,16,3782,4,16198,19,654784,1330,670982,1349,0,99,-14,171,34,17924,0,219,99
05-12-21,Overton,3024,1,2261,1,763,0,2661,1,15465,49,18126,50,0,61,0,23,1,2940,0,64,61
05-12-21,Pending,16874,15,10858,5,6016,10,12070,4,432279,939,444349,943,0,134,1,123,14,16617,0,139,133
05-12-21,Perry,1071,1,920,1,151,0,1035,1,6219,13,7254,14,0,28,1,10,0,1033,0,28,28
05-12-21,Pickett,759,0,501,0,258,0,603,1,4013,9,4616,10,0,24,0,1,0,734,0,28,24
05-12-21,Polk,2085,3,1868,3,217,0,2071,2,9904,35,11975,37,0,24,-2,32,5,2029,0,91,25
05-12-21,Putnam,11429,18,9281,15,2148,3,11110,16,74664,348,85774,364,0,175,10,116,8,11138,0,211,175
05-12-21,Rhea,4357,0,3762,0,595,0,4210,1,27718,62,31928,63,0,75,-2,23,2,4259,0,86,75
05-12-21,Roane,6314,6,4842,2,1472,4,5393,3,44596,65,49989,68,0,105,2,54,4,6155,0,153,105
05-12-21,Robertson,9784,6,7641,1,2143,5,8607,1,45729,113,54336,114,1,132,-2,60,7,9592,0,439,132
05-12-21,Rutherford,43176,23,36768,18,6408,5,42702,26,251221,491,293923,517,1,437,-33,327,55,42412,0,596,437
05-12-21,Scott,3150,5,1714,2,1436,3,1832,2,11923,29,13755,31,0,45,1,46,4,3059,0,67,45
05-12-21,Sequatchie,1716,6,1331,3,385,3,1454,3,12107,14,13561,17,0,29,4,24,2,1663,0,41,29
