DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-20-20,Hamblen,1,,,,,,,,,,,,,,,,,,,
03-20-20,Hamilton,5,4,,,,,,,,,,,,,,,,,,
03-20-20,Hawkins,,,,,,,,,,,,,,,,,,,,
03-20-20,Houston,,,,,,,,,,,,,,,,,,,,
03-20-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Knox,3,1,,,,,,,,,,,,,,,,,,
03-20-20,Macon,,,,,,,,,,,,,,,,,,,,
03-20-20,Madison,,,,,,,,,,,,,,,,,,,,
03-20-20,Marion,,,,,,,,,,,,,,,,,,,,
03-20-20,Marshall,,,,,,,,,,,,,,,,,,,,
03-20-20,Maury,1,,,,,,,,,,,,,,,,,,,
03-20-20,McNairy,,,,,,,,,,,,,,,,,,,,
03-20-20,Montgomery,3,2,,,,,,,,,,,,,,,,,,
03-20-20,Morgan,,,,,,,,,,,,,,,,,,,,
03-20-20,Out of State,40,14,,,,,,,,,,,,,,,,,,
03-20-20,Putnam,,,,,,,,,,,,,,,,,,,,
03-20-20,Robertson,2,0,,,,,,,,,,,,,,,,,,
03-20-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Sevier,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Shelby,4,0,,,,,,,,,,,,,,,,,,
03-20-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Sumner,11,8,,,,,,,,,,,,,,,,,,
03-20-20,Tipton,1,,,,,,,,,,,,,,,,,,,
03-20-20,Washington,2,,,,,,,,,,,,,,,,,,,
03-20-20,White,,,,,,,,,,,,,,,,,,,,
03-20-20,Williamson,35,5,,,,,,,,,,,,,,,,,,
03-20-20,Wilson,3,2,,,,,,,,,,,,,,,,,,
03-21-20,Anderson,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Blount,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Bradley,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Campbell,2,1,,,,,,,,,,,,,,,,,,
03-21-20,Carroll,1,,,,,,,,,,,,,,,,,,,
03-21-20,Cheatham,2,0,,,,,,,,,,,,,,,,,,
