DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-26-20,Greene,8,1,,,,,,,,,,,,,,
03-26-20,Grundy,1,0,,,,,,,,,,,,,,
03-26-20,Hamblen,2,0,,,,,,,,,,,,,,
03-26-20,Hamilton,28,13,,,,,,,,,,,,,,
03-26-20,Hardin,1,0,,,,,,,,,,,,,,
03-26-20,Hawkins,1,0,,,,,,,,,,,,,,
03-26-20,Houston,2,-1,,,,,,,,,,,,,,
03-26-20,Jefferson,4,0,,,,,,,,,,,,,,
03-26-20,Knox,26,6,,,,,,,,,,,,,,
03-26-20,Lewis,2,1,,,,,,,,,,,,,,
03-26-20,Lincoln,1,0,,,,,,,,,,,,,,
03-26-20,Loudon,6,3,,,,,,,,,,,,,,
03-26-20,Macon,1,,,,,,,,,,,,,,,
03-26-20,Madison,2,0,,,,,,,,,,,,,,
03-26-20,Marion,2,1,,,,,,,,,,,,,,
03-26-20,Maury,7,0,,,,,,,,,,,,,,
03-26-20,McMinn,3,1,,,,,,,,,,,,,,
03-26-20,Meigs,1,,,,,,,,,,,,,,,
03-26-20,Monroe,2,0,,,,,,,,,,,,,,
03-26-20,Montgomery,6,0,,,,,,,,,,,,,,
03-26-20,Out of State,117,17,,,,,,,,,,,,,,
03-26-20,Overton,1,0,,,,,,,,,,,,,,
03-26-20,Pending,112,31,,,,,,,,,,,,,,
03-26-20,Perry,1,0,,,,,,,,,,,,,,
03-26-20,Putnam,11,2,,,,,,,,,,,,,,
03-26-20,Roane,1,0,,,,,,,,,,,,,,
03-26-20,Robertson,20,5,,,,,,,,,,,,,,
03-26-20,Rutherford,27,8,,,,,,,,,,,,,,
03-26-20,Scott,1,0,,,,,,,,,,,,,,
03-26-20,Sevier,3,1,,,,,,,,,,,,,,
03-26-20,Shelby,147,30,,,,,,,,,,,,,,
03-26-20,Sullivan,4,2,,,,,,,,,,,,,,
03-26-20,Sumner,43,7,,,,,,,,,,,,,,
03-26-20,Tipton,8,2,,,,,,,,,,,,,,
03-26-20,Unicoi,1,,,,,,,,,,,,,,,
03-26-20,Washington,9,2,,,,,,,,,,,,,,
03-26-20,White,1,0,,,,,,,,,,,,,,
03-26-20,Williamson,70,4,,,,,,,,,,,,,,
03-26-20,Wilson,13,3,,,,,,,,,,,,,,
03-27-20,Anderson,4,1,,,,,,,,,,,,,,
03-27-20,Bedford,1,0,,,,,,,,,,,,,,
03-27-20,Benton,2,1,,,,,,,,,,,,,,
03-27-20,Blount,6,2,,,,,,,,,,,,,,
03-27-20,Bradley,6,1,,,,,,,,,,,,,,
03-27-20,Campbell,4,2,,,,,,,,,,,,,,
03-27-20,Cannon,2,1,,,,,,,,,,,,,,
03-27-20,Carroll,4,1,,,,,,,,,,,,,,
03-27-20,Cheatham,7,0,,,,,,,,,,,,,,
03-27-20,Chester,2,0,,,,,,,,,,,,,,
03-27-20,Claiborne,2,0,,,,,,,,,,,,,,
03-27-20,Cocke,1,0,,,,,,,,,,,,,,
03-27-20,Cumberland,6,0,,,,,,,,,,,,,,
03-27-20,Davidson,216,13,,,,,,,,,,,,,,
03-27-20,Dekalb,3,1,,,,,,,,,,,,,,
03-27-20,Dickson,9,2,,,,,,,,,,,,,,
03-27-20,Dyer,3,0,,,,,,,,,,,,,,
03-27-20,Fayette,3,0,,,,,,,,,,,,,,
03-27-20,Franklin,3,0,,,,,,,,,,,,,,
03-27-20,Gibson,2,0,,,,,,,,,,,,,,
03-27-20,Greene,8,0,,,,,,,,,,,,,,
03-27-20,Grundy,1,0,,,,,,,,,,,,,,
03-27-20,Hamblen,2,0,,,,,,,,,,,,,,
03-27-20,Hamilton,30,2,,,,,,,,,,,,,,
03-27-20,Hardin,1,0,,,,,,,,,,,,,,
03-27-20,Hawkins,2,1,,,,,,,,,,,,,,
03-27-20,Houston,2,0,,,,,,,,,,,,,,
03-27-20,Jefferson,5,1,,,,,,,,,,,,,,
03-27-20,Knox,31,5,,,,,,,,,,,,,,
03-27-20,Lewis,2,0,,,,,,,,,,,,,,
03-27-20,Lincoln,1,0,,,,,,,,,,,,,,
03-27-20,Loudon,6,0,,,,,,,,,,,,,,
03-27-20,Macon,1,0,,,,,,,,,,,,,,
03-27-20,Madison,3,1,,,,,,,,,,,,,,
03-27-20,Marion,2,0,,,,,,,,,,,,,,
03-27-20,Maury,7,0,,,,,,,,,,,,,,
03-27-20,McMinn,3,0,,,,,,,,,,,,,,
03-27-20,Meigs,1,0,,,,,,,,,,,,,,
03-27-20,Monroe,2,0,,,,,,,,,,,,,,
03-27-20,Montgomery,9,3,,,,,,,,,,,,,,
