Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
12/01/2022,Schenectady,20,42033,525,840982,5.18%,COUNTY
12/01/2022,Schoharie,5,6338,79,121883,5.71%,COUNTY
12/01/2022,Schuyler,3,4229,97,100160,6.82%,COUNTY
12/01/2022,Seneca,3,7359,110,140124,2.86%,COUNTY
12/01/2022,Southern Tier,113,171515,1949,5987980,6.35%,REGION
12/01/2022,St. Lawrence,6,25563,215,622052,2.86%,COUNTY
12/01/2022,Steuben,16,24533,278,478669,5.34%,COUNTY
12/01/2022,Suffolk,791,536900,7328,8540489,9.62%,COUNTY
12/01/2022,Sullivan,19,23355,267,379250,7.41%,COUNTY
12/01/2022,Tioga,6,13582,175,235337,3.61%,COUNTY
12/01/2022,Tompkins,11,25611,199,3061618,5.91%,COUNTY
12/01/2022,Ulster,29,40954,390,870431,6.21%,COUNTY
12/01/2022,Warren,11,18105,308,341854,3.42%,COUNTY
12/01/2022,Washington,14,15132,193,289501,7.59%,COUNTY
12/01/2022,Wayne,14,21103,309,385018,4.08%,COUNTY
12/01/2022,Westchester,410,317936,5569,5891495,7.79%,COUNTY
12/01/2022,Western New York,134,375163,1887,6236236,7.66%,REGION
12/01/2022,Wyoming,2,9703,46,158613,4.65%,COUNTY
12/01/2022,Yates,1,4299,54,92102,2.04%,COUNTY
11/30/2022,Albany,54,75714,836,1407005,6.55%,COUNTY
11/30/2022,Allegany,4,10432,99,249400,3.49%,COUNTY
11/30/2022,Bronx,744,483487,8035,8885441,8.64%,COUNTY
11/30/2022,Broome,72,56456,971,1187546,7.28%,COUNTY
11/30/2022,Capital Region,213,274004,3632,5272337,5.72%,REGION
11/30/2022,Cattaraugus,9,18686,134,308461,5.93%,COUNTY
11/30/2022,Cayuga,6,19684,253,396856,2.63%,COUNTY
11/30/2022,Central New York,105,220157,2628,4417217,4.09%,REGION
11/30/2022,Chautauqua,8,28448,234,530852,2.62%,COUNTY
11/30/2022,Chemung,30,25868,350,484445,9.77%,COUNTY
11/30/2022,Chenango,13,11445,152,237901,7.38%,COUNTY
11/30/2022,Clinton,28,21585,184,406114,16.56%,COUNTY
11/30/2022,Columbia,9,13148,90,253469,6.98%,COUNTY
11/30/2022,Cortland,11,12865,215,307442,5.12%,COUNTY
11/30/2022,Delaware,4,9714,108,201104,3.74%,COUNTY
11/30/2022,Dutchess,97,80337,904,1486628,9.98%,COUNTY
11/30/2022,Erie,138,259756,1735,4239515,7.30%,COUNTY
11/30/2022,Essex,5,7355,93,165633,8.06%,COUNTY
11/30/2022,Finger Lakes,209,292605,4085,5647609,5.36%,REGION
11/30/2022,Franklin,6,11697,135,218585,4.50%,COUNTY
11/30/2022,Fulton,18,16000,279,231700,2.61%,COUNTY
11/30/2022,Genesee,9,16075,175,275501,4.22%,COUNTY
11/30/2022,Greene,7,10450,91,181727,7.95%,COUNTY
11/30/2022,Hamilton,2,1057,7,20306,33.33%,COUNTY
11/30/2022,Herkimer,8,16892,313,327143,3.45%,COUNTY
11/30/2022,Jefferson,31,25751,357,409368,7.07%,COUNTY
11/30/2022,Kings,1119,866169,14924,18782866,7.01%,COUNTY
11/30/2022,Lewis,5,7092,86,104450,8.47%,COUNTY
11/30/2022,Livingston,11,13917,213,286317,5.15%,COUNTY
11/30/2022,Long Island,1690,1055407,16130,16973280,8.74%,REGION
11/30/2022,Madison,11,16274,263,373163,4.90%,COUNTY
11/30/2022,Mid-Hudson,869,736715,9985,13457680,8.08%,REGION
11/30/2022,Mohawk Valley,70,133114,1665,2748748,3.38%,REGION
11/30/2022,Monroe,136,184915,2586,3668846,5.59%,COUNTY
11/30/2022,Montgomery,5,14519,128,223922,3.36%,COUNTY
11/30/2022,Nassau,829,519298,8288,8440119,8.90%,COUNTY
11/30/2022,New York,771,557623,10407,14501172,7.09%,COUNTY
11/30/2022,New York City,3996,2928330,48313,60666836,7.64%,REGION
11/30/2022,Niagara,25,57707,312,906121,7.42%,COUNTY
11/30/2022,North Country,90,100094,1092,1946293,8.37%,REGION
11/30/2022,Oneida,25,66601,665,1530990,3.10%,COUNTY
11/30/2022,Onondaga,56,138017,1365,2805465,4.00%,COUNTY
11/30/2022,Ontario,23,25076,378,482728,6.18%,COUNTY
11/30/2022,Orange,127,131804,1576,1977007,7.51%,COUNTY
11/30/2022,Orleans,5,10178,115,158879,4.72%,COUNTY
11/30/2022,Oswego,21,33317,532,534291,4.27%,COUNTY
11/30/2022,Otsego,9,12769,183,313189,4.14%,COUNTY
11/30/2022,Putnam,33,29886,458,492874,7.19%,COUNTY
11/30/2022,Queens,1205,819463,12601,14798078,8.53%,COUNTY
11/30/2022,Rensselaer,40,40279,754,878508,5.14%,COUNTY
11/30/2022,Richmond,157,201588,2346,3699279,5.96%,COUNTY
11/30/2022,Rockland,200,112901,1964,2366221,10.51%,COUNTY
11/30/2022,STATEWIDE,7615,6286857,92560,123350380,7.46%,STATEWIDE
11/30/2022,Saratoga,39,59188,688,1080317,4.78%,COUNTY
11/30/2022,Schenectady,33,42013,595,840457,6.40%,COUNTY
11/30/2022,Schoharie,5,6333,97,121804,4.76%,COUNTY
11/30/2022,Schuyler,3,4226,71,100063,6.38%,COUNTY
11/30/2022,Seneca,3,7356,130,140014,2.42%,COUNTY
11/30/2022,Southern Tier,189,171402,2516,5986031,7.66%,REGION
11/30/2022,St. Lawrence,13,25557,230,621837,5.75%,COUNTY
11/30/2022,Steuben,26,24517,347,478391,7.78%,COUNTY
11/30/2022,Suffolk,861,536109,7842,8533161,8.55%,COUNTY
11/30/2022,Sullivan,21,23336,402,378983,5.17%,COUNTY
11/30/2022,Tioga,10,13576,202,235162,5.03%,COUNTY
11/30/2022,Tompkins,31,25600,315,3061419,10.00%,COUNTY
11/30/2022,Ulster,32,40925,410,870041,7.05%,COUNTY
11/30/2022,Warren,20,18094,374,341546,5.81%,COUNTY
11/30/2022,Washington,11,15118,204,289308,3.57%,COUNTY
11/30/2022,Wayne,14,21089,356,384709,4.55%,COUNTY
11/30/2022,Westchester,359,317526,4271,5885926,7.64%,COUNTY
11/30/2022,Western New York,184,375029,2514,6234349,6.64%,REGION
11/30/2022,Wyoming,3,9701,58,158567,5.66%,COUNTY
11/30/2022,Yates,5,4298,74,92048,6.90%,COUNTY
11/29/2022,Albany,52,75660,636,1406169,7.74%,COUNTY
11/29/2022,Allegany,3,10428,118,249301,2.67%,COUNTY
11/29/2022,Bronx,616,482743,7207,8877406,7.74%,COUNTY
11/29/2022,Broome,24,56384,1568,1186575,1.49%,COUNTY
11/29/2022,Capital Region,157,273791,2395,5268705,6.49%,REGION
11/29/2022,Cattaraugus,7,18677,117,308327,5.66%,COUNTY
11/29/2022,Cayuga,6,19678,285,396603,2.38%,COUNTY
11/29/2022,Central New York,89,220052,2169,4414589,3.87%,REGION
11/29/2022,Chautauqua,13,28440,211,530618,5.39%,COUNTY
11/29/2022,Chemung,14,25838,581,484095,3.86%,COUNTY
11/29/2022,Chenango,5,11432,133,237749,3.03%,COUNTY
11/29/2022,Clinton,10,21557,153,405930,7.08%,COUNTY
11/29/2022,Columbia,5,13139,62,253379,3.45%,COUNTY
11/29/2022,Cortland,5,12854,121,307227,4.39%,COUNTY
11/29/2022,Delaware,4,9710,98,200996,3.16%,COUNTY
11/29/2022,Dutchess,90,80240,950,1485724,9.31%,COUNTY
11/29/2022,Erie,149,259618,1404,4237780,9.27%,COUNTY
11/29/2022,Essex,3,7350,88,165540,3.45%,COUNTY
11/29/2022,Finger Lakes,122,292396,2565,5643524,4.55%,REGION
11/29/2022,Franklin,5,11691,95,218450,7.58%,COUNTY
11/29/2022,Fulton,13,15982,222,231421,3.17%,COUNTY
11/29/2022,Genesee,3,16066,118,275326,2.54%,COUNTY
11/29/2022,Greene,10,10443,46,181636,23.81%,COUNTY
11/29/2022,Hamilton,0,1055,5,20299,0.00%,COUNTY
11/29/2022,Herkimer,6,16884,206,326830,5.21%,COUNTY
11/29/2022,Jefferson,19,25720,312,409011,4.33%,COUNTY
11/29/2022,Kings,1121,865050,12062,18767942,8.88%,COUNTY
11/29/2022,Lewis,4,7087,54,104364,6.25%,COUNTY
11/29/2022,Livingston,6,13906,84,286104,6.10%,COUNTY
11/29/2022,Long Island,1711,1053717,15749,16957150,9.14%,REGION
11/29/2022,Madison,7,16263,127,372900,5.13%,COUNTY
11/29/2022,Mid-Hudson,813,735846,8808,13447695,8.60%,REGION
11/29/2022,Mohawk Valley,55,133044,1194,2747083,4.13%,REGION
11/29/2022,Monroe,77,184779,1509,3666260,4.84%,COUNTY
11/29/2022,Montgomery,5,14514,59,223794,7.02%,COUNTY
11/29/2022,Nassau,857,518469,7698,8431831,9.67%,COUNTY
11/29/2022,New York,699,556852,9247,14490765,7.39%,COUNTY
11/29/2022,New York City,3828,2924334,42309,60618523,8.67%,REGION
11/29/2022,Niagara,17,57682,293,905809,5.60%,COUNTY
11/29/2022,North Country,44,100004,897,1945201,4.41%,REGION
11/29/2022,Oneida,17,66576,483,1530325,2.76%,COUNTY
