date_stamp,age_group,cnt_confirmed,cnt_confirmed_new,pct_confirmed,pct_confirmed_new,cnt_death,cnt_death_new
2020-04-24,00,130,8,1.4898,1.7391,1.0,0.0
2020-04-24,41,1451,33,16.6285,7.1739,10.0,0.0
2020-04-24,21,1671,30,19.1497,6.5217,1.0,-1.0
2020-04-24,11,461,18,5.2831,3.913,0.0,0.0
2020-04-25,99,434,19,4.723,4.1037,0.0,0.0
2020-04-25,81,291,17,3.1668,3.6717,58.0,3.0
2020-04-25,71,481,22,5.2345,4.7516,50.0,5.0
2020-04-25,51,1542,62,16.7809,13.3909,15.0,0.0
2020-04-25,61,970,35,10.5561,7.5594,42.0,2.0
2020-04-25,31,1536,86,16.7156,18.5745,1.0,0.0
2020-04-25,21,1742,71,18.9574,15.3348,1.0,0.0
2020-04-25,11,517,56,5.6263,12.095,0.0,0.0
2020-04-25,00,145,15,1.578,3.2397,1.0,0.0
2020-04-25,41,1531,80,16.6612,17.2786,10.0,0.0
2020-04-26,99,433,-1,4.4792,-0.2092,0.0,0.0
2020-04-26,81,311,20,3.2171,4.1841,60.0,2.0
2020-04-26,71,497,16,5.1412,3.3473,50.0,0.0
2020-04-26,61,1001,31,10.3548,6.4854,42.0,0.0
2020-04-26,51,1592,50,16.4684,10.4603,15.0,0.0
2020-04-26,41,1608,77,16.6339,16.1088,10.0,0.0
2020-04-26,21,1870,128,19.3442,26.7782,1.0,0.0
2020-04-26,11,567,50,5.8653,10.4603,0.0,0.0
2020-04-26,00,158,13,1.6344,2.7197,1.0,0.0
2020-04-26,31,1630,94,16.8615,19.6653,2.0,1.0
2020-04-27,99,423,-10,4.265,-3.9841,0.0,0.0
2020-04-27,81,336,25,3.3878,9.9602,63.0,3.0
2020-04-27,71,517,20,5.2127,7.9681,50.0,0.0
2020-04-27,61,1025,24,10.3347,9.5618,42.0,0.0
2020-04-27,51,1624,32,16.3743,12.749,15.0,0.0
2020-04-27,41,1650,42,16.6364,16.7331,10.0,0.0
2020-04-27,21,1913,43,19.2882,17.1315,1.0,0.0
2020-04-27,11,594,27,5.9891,10.757,0.0,0.0
2020-04-27,00,166,8,1.6737,3.1873,1.0,0.0
2020-04-27,31,1670,40,16.8381,15.9363,2.0,0.0
2020-04-28,61,1051,26,10.4556,19.403,44.0,2.0
2020-04-28,81,341,5,3.3924,3.7313,65.0,2.0
2020-04-28,99,421,-2,4.1882,-1.4925,0.0,0.0
2020-04-28,51,1651,27,16.4246,20.1493,15.0,0.0
2020-04-28,71,530,13,5.2726,9.7015,50.0,0.0
2020-04-28,31,1692,22,16.8325,16.4179,2.0,0.0
2020-04-28,21,1928,15,19.1803,11.194,1.0,0.0
2020-04-28,11,599,5,5.959,3.7313,0.0,0.0
2020-04-28,00,171,5,1.7012,3.7313,1.0,0.0
2020-04-28,41,1668,18,16.5937,13.4328,10.0,0.0
2020-04-29,81,354,13,3.415,4.1401,68.0,3.0
