date_stamp,race,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-07-30,3,14203,13.8066,65,6.2
2020-07-31,4,125,0.118,3,0.2
2020-07-31,3,14823,13.9894,65,6.1
2020-07-31,5,77,0.0727,2,0.1
2020-07-31,0,955,0.9013,15,1.4
2020-07-31,1,19808,18.694,357,33.6
2020-07-31,2,45421,42.8666,600,56.6
2020-07-31,9,24750,23.3581,18,1.6
2020-08-01,9,25129,23.228,19,1.7
2020-08-01,5,78,0.0721,2,0.1
2020-08-01,4,131,0.1211,3,0.2
2020-08-01,0,972,0.8985,16,1.4
2020-08-01,1,20191,18.6636,359,33.6
2020-08-01,2,46418,42.9065,604,56.6
2020-08-01,3,15265,14.1102,64,5.9
2020-08-02,9,25710,23.4523,19,1.7
2020-08-02,5,80,0.073,2,0.1
2020-08-02,4,133,0.1213,3,0.2
2020-08-02,0,983,0.8967,16,1.4
2020-08-02,1,20401,18.6095,359,33.4
2020-08-02,2,47067,42.9338,610,56.8
2020-08-02,3,15253,13.9135,64,5.9
2020-08-03,9,25885,23.3965,21,1.9
2020-08-03,5,81,0.0732,2,0.1
2020-08-03,4,134,0.1211,3,0.2
2020-08-03,0,988,0.893,16,1.4
2020-08-03,1,20564,18.5871,364,33.3
2020-08-03,2,47702,43.1162,622,56.9
2020-08-03,3,15282,13.8129,64,5.8
2020-08-04,9,25627,22.7915,20,1.7
2020-08-04,3,15900,14.1407,67,5.9
2020-08-04,5,82,0.0729,2,0.1
2020-08-04,4,138,0.1227,3,0.2
2020-08-04,0,998,0.8876,15,1.3
2020-08-04,1,20847,18.5404,372,33.3
2020-08-04,2,48849,43.4441,638,57.1
2020-08-05,4,142,0.1245,4,0.3
2020-08-05,3,16183,14.1834,70,6.1
2020-08-05,5,83,0.0727,2,0.1
2020-08-05,0,1015,0.8896,15,1.3
2020-08-05,1,22003,19.2843,384,33.5
2020-08-05,2,51004,44.7019,661,57.7
2020-08-05,9,23668,20.7436,8,0.6
2020-08-06,9,23935,20.5716,10,0.8432
2020-08-06,0,1039,0.893,15,1.2648
2020-08-06,4,143,0.1229,4,0.3373
2020-08-06,3,16548,14.2226,72,6.0708
2020-08-06,1,22345,19.205,394,33.2209
2020-08-06,2,52258,44.9145,689,58.0944
