pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
59,British Columbia,Colombie-Britannique,12-03-2020,,46,0.0,1,46,5195.0,4354,0,0.0,996.2,834.93,7,15.22,0.88,0.02,0,2.17,822.0,809,0,97.83,45,0.86,40,0.77,1,0.02,34,0.65,1,0.02,4.86,0.09,0.0,0.0,0.0
48,Alberta,Alberta,12-03-2020,,19,0.0,0,19,4109.0,1768,0,0.0,924.85,397.94,5,26.32,0.43,0.0,0,0.0,2140.0,784,0,100.0,19,0.43,18,0.41,0,0.0,18,0.41,0,0.0,2.57,0.06,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,12-03-2020,,0,1.0,0,1,285.0,0,0,0.0,241.56,0.0,1,100.0,0.08,0.0,0,0.0,81.0,0,0,100.0,1,0.08,1,0.08,0,0.0,1,0.08,0,0.0,0.14,0.01,0.0,0.0,0.0
46,Manitoba,Manitoba,12-03-2020,,0,1.0,0,1,352.0,117,0,0.0,254.38,84.55,1,100.0,0.07,0.0,0,0.0,0.0,104,0,100.0,1,0.07,1,0.07,0,0.0,1,0.07,0,0.0,0.14,0.01,0.0,0.0,0.0
35,Ontario,Ontario,12-03-2020,,59,0.0,0,59,4185.0,0,0,0.0,282.27,0.0,17,28.81,0.4,0.0,0,0.0,791.0,0,0,100.0,59,0.4,56,0.38,0,0.0,39,0.26,0,0.0,5.57,0.04,0.0,0.0,0.0
24,Quebec,Québec,12-03-2020,,13,0.0,0,13,740.0,397,0,0.0,86.0,46.14,6,46.15,0.15,0.0,0,0.0,184.0,131,0,100.0,13,0.15,12,0.14,0,0.0,12,0.14,0,0.0,1.71,0.02,0.0,0.0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,,0,0.0,0,0,52.0,27,0,0.0,99.89,51.87,0,0.0,0.0,0.0,0,0.0,8.0,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,New Brunswick,Nouveau-Brunswick,12-03-2020,,0,1.0,0,1,44.0,20,0,0.0,55.75,25.34,1,100.0,0.13,0.0,0,0.0,22.0,14,0,100.0,1,0.13,1,0.13,0,0.0,1,0.13,0,0.0,0.14,0.02,0.0,0.0,0.0
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,,0,0.0,0,0,182.0,16,0,0.0,183.46,16.13,0,0.0,0.0,0.0,0,0.0,79.0,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,,0,0.0,0,0,6.0,0,0,0.0,36.51,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
