pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numtotal,numtotal_last7,ratecases_total,numconf,numprob,numtests,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
1,Canada,Canada,04-04-2020,14,2020,,13640,8260,35.66,,,,235,191,0.61,21.6,0.5,12166,221,31.81,0.58,1180.05,3.09,27.32,0.07
59,British Columbia,Colombie-Britannique,11-04-2020,15,2020,1,1445,242,27.72,,,,58,20,1.11,4.64,0.38,561,42,10.76,0.81,34.57,0.66,2.86,0.05
48,Alberta,Alberta,11-04-2020,15,2020,1,1657,549,37.3,,,,39,20,0.87,12.36,0.45,1073,33,24.14,0.73,78.47,1.77,2.84,0.06
47,Saskatchewan,Saskatchewan,11-04-2020,15,2020,1,289,58,24.49,,,,4,1,0.34,4.92,0.08,155,4,13.14,0.34,8.29,0.7,0.14,0.01
46,Manitoba,Manitoba,11-04-2020,15,2020,1,242,48,17.49,,,,4,2,0.29,3.47,0.14,178,3,12.86,0.22,6.86,0.5,0.29,0.02
35,Ontario,Ontario,11-04-2020,15,2020,1,6648,3018,44.84,,,,252,158,1.7,20.36,1.07,5655,252,38.14,1.7,431.14,2.91,22.57,0.15
24,Quebec,Québec,11-04-2020,15,2020,1,11348,4657,131.88,,,,284,207,3.31,54.12,2.41,8932,264,103.81,3.07,665.29,7.73,29.57,0.34
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-04-2020,15,2020,1,241,46,46.3,,,,2,1,0.47,8.84,0.19,121,2,23.24,0.38,6.57,1.26,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,11-04-2020,15,2020,1,112,14,14.19,,,,0,0,0,1.77,0,61,0,7.73,0,2,0.25,0,0
12,Nova Scotia,Nouvelle-Écosse,11-04-2020,15,2020,1,422,177,42.57,,,,2,2,0.22,17.81,0.22,320,2,32.24,0.22,25.24,2.54,0.31,0.03
11,Prince Edward Island,Île-du-Prince-Édouard,11-04-2020,15,2020,1,24,2,14.43,,,,0,0,0,1.3,0,10,0,6.35,0,0.31,0.19,0,0
60,Yukon,Yukon,11-04-2020,15,2020,1,8,2,18.61,,,,0,0,0,3.88,0,4,0,10.08,0,0.24,0.55,0,0
61,Northwest Territories,Territoires du Nord-Ouest,11-04-2020,15,2020,1,5,1,10.99,,,,0,0,0,2.51,0,4,0,8.79,0,0.16,0.36,0,0
62,Nunavut,Nunavut,11-04-2020,15,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,11-04-2020,15,2020,,13,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,11-04-2020,15,2020,,22454,8814,58.71,,,,646,411,1.69,23.05,1.07,17074,602,44.64,1.57,1259.14,3.29,58.71,0.15
59,British Columbia,Colombie-Britannique,18-04-2020,16,2020,1,1618,173,31.03,,,,78,20,1.5,3.32,0.38,415,40,7.96,0.77,24.71,0.47,2.86,0.05
48,Alberta,Alberta,18-04-2020,16,2020,1,2570,913,57.85,,,,55,17,1.25,20.55,0.38,1462,37,32.91,0.83,130.43,2.94,2.41,0.05
